created_at,card_id,name,rarity,description,power_hp,torque_nm,max_speed_kmh,weight_t,make,model,year,acceleration_0_100,power_kw,cylinder,engine_size,boost,id,legacy_id,country_code
2025-05-15 05:09:22.746899+00,34a8d815-2d6f-4ad6-863a-8c36ceb84058,Stelvio,Uncommon,,520,600,285,1850,Alfa Romeo,Stelvio Quadrifoglio,2023,3.8,382,V6,2891,BiTurbo,19010f5b-8f36-4f07-837f-cb4938ff7bea,2,🇮🇹
2025-09-02 14:39:16.204046+00,5a294f72-7652-4135-a983-9cbe833199e0,,,Acura TLX 2.0T,272,380.0,,,Acura,TLX 2.0T,2023,6.1,202.8,4.0,2.0 I4 Turbo,Turbo,1ae56113-63c9-424e-b273-968c90585722,,🇯🇵
2025-09-02 14:39:16.204046+00,1ad5ae80-265b-4fde-81a1-73a20d7a261d,,,Acura TLX 2.0T,272,380.0,,,Acura,TLX 2.0T,2023,6.1,202.8,4.0,2.0 I4 Turbo,Turbo,1d0ce38f-0b7d-43d6-8d7c-549591354a70,,🇯🇵
2025-09-02 14:39:16.204046+00,95f3bb99-7d11-4b1f-a86b-9eda9955ecaa,,,Acura TLX 2.0T,272,380.0,,,Acura,TLX 2.0T,2023,6.1,202.8,4.0,2.0 I4 Turbo,Turbo,1f5d0b96-4fa3-40c8-a21c-b39802322261,,🇯🇵
2025-09-02 14:39:16.204046+00,fa65dce9-14b9-4e19-abb1-f03bc40a5d80,,,Acura TSX V6,280,344.0,,,Acura,TSX V6,2012,6.5,208.8,6.0,3.5 V6,NA,1fd83a82-47ff-49fe-913b-f8d6636303d9,,🇯🇵
2025-09-02 14:39:16.204046+00,15774949-fcdd-405e-bdb2-43abf91de049,,,Acura TL 3.5,280,,,,Acura,TL 3.5,2012,6.2,208.8,6.0,3.5 V6,NA,20d1f32d-d9d8-4133-96bb-43c78f646b60,,🇯🇵
2025-09-02 14:39:16.204046+00,8bcadc26-55d8-4b4e-804c-f442eca4da32,,,Acura TLX 2.0T,272,380.0,,,Acura,TLX 2.0T,2023,6.1,202.8,4.0,2.0 I4 Turbo,Turbo,20e4348c-63b6-4ac8-84e2-a067e08d0f83,,🇯🇵
2025-09-02 14:39:16.204046+00,d877ec70-03d3-4a57-957a-8d41bb933a07,,,Acura NSX NA1 3.0 automatic,252,386.40299999999996,,,Acura,NSX NA1 3.0 AT,1991,,187.9,6.0,3.0 V6,NA,22a10382-894e-492f-9b53-8fbea046ee36,,🇯🇵
2025-09-02 14:39:16.204046+00,4368814a-41ab-4ea3-848d-2d42fcaddbac,,,Acura NSX NA2 3.2 manual,290,412.16319999999996,,1.43,Acura,NSX NA2 3.2 MT,1997,5.7,216.3,6.0,3.2 V6,NA,235e41fe-f2b9-4317-87a8-cc3f4b195a10,,🇯🇵
2025-08-20 13:27:18.43611+00,ceaf4a1f-82de-41ea-8fdb-ba72b22a490a,Alfa romeo spider,Uncommon,,218,265,235,1420,Alfa romeo,Spider,2000,6.8,160,V6,2959,N/A,24b770dd-2a70-4b05-9863-58dd0cfd31ec,,🇮🇹
2025-09-02 14:39:16.204046+00,b0c8cddd-4a86-41d2-be43-799cf980270f,,,Acura RLX (KC1),310,368.0,,,Acura,RLX,2014,6.5,231.2,6.0,3.5 V6,NA,24cad7f3-057e-4ad9-b015-3f4b531b4462,,🇯🇵
2025-09-02 14:39:16.204046+00,2939b11f-ff73-44a3-b716-3260a7272cb3,,,Acura RL (KB1),300,421.6538,,,Acura,RL,2005,6.7,223.7,6.0,3.5 V6,NA,276e9edd-a900-42c8-bfc6-af008b28e756,,🇯🇵
2025-05-15 05:09:22.747092+00,30c73f87-38c7-4cef-a014-c87b0f47a068,GT,,,,,,,Alfa Romeo,GT,2006,,,,,,28ed857f-a801-4f04-b212-8d1c1a62ac55,12,🇮🇹
2025-05-15 05:09:22.747068+00,43e07d5c-59b9-465e-977f-27d54f954bd8,33,,,,,,,Alfa Romeo,33,1988,,,,,,2ed5d50d-d5cc-414d-9641-a55351b88c23,9,🇮🇹
2025-09-02 14:39:16.204046+00,f7e93ac1-f557-4dba-be89-c9c42208ea47,,,Acura MDX (2nd gen) 3.7,300,,,,Acura,MDX 3.7,2007,,223.7,6.0,3.7 V6,NA,306e611c-11ad-408a-ae9d-190958547b4d,,🇯🇵
